market_label,proxy_ticker,proxy_name,major_market,backtest_included,country_name,region_group,count,sum(Market Cap (in US $)),forward_pe,Dividend Yield,forward_earnings_yield,total_equity_risk_premium,country_risk_premium,valuation_spread,spread_percentile,damodaran_signal
United States,SPY,SPDR S&P 500 ETF Trust,True,True,United States,North America,4770.0,59872283.53399999,19.18045112781955,0.010418866376221626,0.052136417091336734,0.0446,0.002333679169992019,0.007536417091336733,0.3220338983050847,neutral
Europe,VGK,Vanguard FTSE Europe ETF,True,True,Europe,,,,,,,,,,,
United Kingdom,EWU,iShares MSCI United Kingdom ETF,False,True,United Kingdom,Western Europe,831.0,3087226.619,14.25868725868726,0.02957771231888953,0.07013268345518547,0.050060069127288796,0.007760069127288798,0.020072614327896678,0.5932203389830508,neutral
Germany,EWG,iShares MSCI Germany ETF,False,True,Germany,Western Europe,520.0,2285126.790999999,17.95876288659794,0.021139466777185062,0.05568312284730195,0.0423,0.0,0.013383122847301955,0.3898305084745763,neutral
France,EWQ,iShares MSCI France ETF,False,True,France,Western Europe,534.0,2979722.587,12.55035971223022,0.025580902058651947,0.07967899111493262,0.050060069127288796,0.007760069127288798,0.029618921987643827,0.8135593220338984,overweight
Spain,EWP,iShares MSCI Spain ETF,False,True,Spain,Western Europe,178.0,786110.2600000001,15.30212765957447,0.02450013470120591,0.06535038932146829,0.057820138254577595,0.015520138254577596,0.007530251066890696,0.3050847457627119,neutral
Italy,EWI,iShares MSCI Italy ETF,False,True,Italy,Western Europe,343.0,641236.6100000001,14.76595744680851,0.033760620389406644,0.06772334293948126,0.06694963134550559,0.024649631345505598,0.0007737115939756706,0.2542372881355932,underweight
Switzerland,EWL,iShares MSCI Switzerland ETF,False,True,Switzerland,Western Europe,211.0,2239278.243,21.11715481171548,0.02299821255397246,0.047354864275807415,0.0423,0.0,0.005054864275807418,0.2711864406779661,neutral
Netherlands,EWN,iShares MSCI Netherlands ETF,False,True,Netherlands,Western Europe,99.0,1393561.404,13.94889267461669,0.016579784309238805,0.0716902784562775,0.0423,0.0,0.0293902784562775,0.7966101694915254,overweight
Sweden,EWD,iShares MSCI Sweden ETF,False,True,Sweden,Western Europe,782.0,944716.6649999999,16.61184210526316,0.019843486491264554,0.06019801980198019,0.0423,0.0,0.01789801980198019,0.5254237288135594,neutral
Austria,EWO,iShares MSCI Austria ETF,False,True,Austria,Western Europe,50.0,122989.1,13.59201141226819,0.04080464041122343,0.07357262804366077,0.04585507581377215,0.0035550758137721547,0.02771755222988862,0.711864406779661,neutral
Japan,EWJ,iShares MSCI Japan ETF,False,True,Japan,Asia,3760.0,6379275.02,15.15873015873016,0.020784536721227615,0.06596858638743455,0.051429493090927994,0.009129493090928,0.014539093296506558,0.423728813559322,neutral
Australia,EWA,iShares MSCI Australia ETF,False,True,Australia,Australia & New Zealand,1454.0,1236145.394,16.61921708185053,0.025647895428715237,0.060171306209850124,0.0423,0.0,0.017871306209850127,0.5084745762711864,neutral
Canada,EWC,iShares MSCI Canada ETF,False,True,Canada,North America,2392.0,2706449.260000001,16.24137931034483,0.01806660557900132,0.061571125265392775,0.0423,0.0,0.019271125265392777,0.559322033898305,neutral
Hong Kong,EWH,iShares MSCI Hong Kong ETF,False,True,Hong Kong,Asia,1305.0,1237851.291,11.375,0.04436827476718282,0.08791208791208792,0.050060069127288796,0.007760069127288798,0.03785201878479912,0.9491525423728814,overweight
South Korea,EWY,iShares MSCI South Korea ETF,False,True,South Korea,Asia,2486.0,2433460.445,12.27467811158798,0.011801840481528764,0.08146853146853149,0.0486906451636496,0.0063906451636495986,0.03277788630488189,0.847457627118644,overweight
Taiwan,EWT,iShares MSCI Taiwan ETF,False,True,Taiwan,Asia,2190.0,2955815.53,16.62251655629139,0.02164274060769957,0.060159362549800796,0.050060069127288796,0.007760069127288798,0.010099293422512,0.3728813559322034,neutral
India,INDA,iShares MSCI India ETF,False,True,India,Asia,4520.0,4013915.843,28.03846153846154,0.01151727229424127,0.03566529492455418,0.07075358680005893,0.028453586800058932,-0.035088291875504746,0.06779661016949153,underweight
China,FXI,iShares China Large-Cap ETF,False,True,China,Asia,6128.0,15606611.731,26.46153846153846,0.022540027147677368,0.03779069767441861,0.051429493090927994,0.009129493090928,-0.013638795416509385,0.13559322033898305,underweight
Brazil,EWZ,iShares MSCI Brazil ETF,False,True,Brazil,Central and South America,245.0,434178.044,9.173469387755102,0.04471846208787101,0.10901001112347053,0.07470970047279439,0.032409700472794394,0.03430031065067614,0.864406779661017,overweight
Mexico,EWW,iShares MSCI Mexico ETF,False,True,Mexico,Central and South America,91.0,467380.1,13.04477611940298,0.02697321024151435,0.07665903890160186,0.06694963134550559,0.024649631345505598,0.00970940755609627,0.3389830508474576,neutral
South Africa,EZA,iShares MSCI South Africa ETF,False,True,South Africa,Africa,158.0,319628.5600000001,9.780219780219781,0.029562509995977825,0.10224719101123594,0.08125250385462612,0.038952503854626126,0.02099468715660982,0.6271186440677966,neutral
Poland,EPOL,iShares MSCI Poland ETF,False,True,Poland,Eastern Europe & Russia,559.0,162444.92,11.05228758169935,0.03508266722037229,0.09047900650502659,0.05325539170911359,0.010955391709113598,0.037223614795913,0.9322033898305084,overweight
Turkey,TUR,iShares MSCI Turkey ETF,False,True,Turkey,Western Europe,512.0,284427.2,9.15068493150685,0.014791921201629095,0.10928143712574849,0.08886041476373278,0.04656041476373279,0.020421022362015706,0.6101694915254238,neutral
Chile,ECH,iShares MSCI Chile ETF,False,True,Chile,Central and South America,98.0,154965.31,11.35198135198135,0.046458571276371464,0.08809034907597538,0.05325539170911359,0.010955391709113598,0.034834957366861784,0.8983050847457628,overweight
Peru,EPU,iShares MSCI Peru and Global Exposure ETF,False,True,Peru,Central and South America,46.0,59524.959,9.164265129682999,0.07584756169256665,0.10911949685534589,0.06299351767277012,0.020693517672770126,0.04612597918257577,1.0,overweight
Argentina,ARGT,Global X MSCI Argentina ETF,False,True,Argentina,Central and South America,60.0,54273.007,29.21875,0.021573700532200105,0.034224598930481284,0.13937694320020103,0.09707694320020104,-0.10515234426971974,0.01694915254237288,underweight
Philippines,EPHE,iShares MSCI Philippines ETF,False,True,Philippines,Asia,219.0,185384.29,9.347826086956522,0.0377414504756579,0.10697674418604651,0.06694963134550559,0.024649631345505598,0.04002711284054092,0.9661016949152542,overweight
Vietnam,VNM,VanEck Vietnam ETF,False,True,Vietnam,Asia,606.0,214608.751,13.61963190184049,0.01967072512341307,0.07342342342342342,0.08125250385462612,0.038952503854626126,-0.0078290804312027,0.1694915254237288,underweight
Malaysia,EWM,iShares MSCI Malaysia ETF,False,True,Malaysia,Asia,1066.0,375402.3040000001,13.78571428571428,0.027094485280516546,0.07253886010362698,0.057820138254577595,0.015520138254577596,0.014718721849049383,0.4406779661016949,neutral
